full_name,diameter,profit,price,dv,class,spec
11066 Sigurd (1992 CC1),2.778,2.02258E+12,3.27374E+13,12.715554,APO,K
276049 (2002 CE26),3.5,1.70294E+12,3.33862E+13,15.275389,APO,C
3288 Seleucus (1982 DV),2.8,5.01712E+12,3.35214E+13,6.28914,AMO,K
4297 Eichhorn (1938 HE),3.668,3.45074E+12,3.83747E+13,8.708535,MBA,Cb
1103 Sequoia (1928 VB),6.692,3.12055E+12,3.93143E+13,9.835305,IMB,Xk
53319 (1999 JM8),7,4.57659E+12,4.49963E+13,7.858447,APO,X
16064 Davidharvey (1999 RH27),4.106,6.14237E+12,5.39038E+13,7.238176,AMO,C
4256 Kagamigawa (1986 TX),7.476,5.08957E+12,6.02834E+13,9.227358,MBA,Xc
4845 Tsubetsu (1991 EC1),7.847,5.12437E+12,6.3386E+13,9.613348,MBA,X
3192 A'Hearn (1982 BY1),4.361,5.73854E+12,6.45833E+13,8.799344,MBA,C
4276 Clifford (1981 XA),4.441,5.34064E+12,6.81082E+13,9.947221,MCA,Cb
2762 Fowler (1981 AT),4.467,6.12895E+12,6.93115E+13,8.841566,MBA,Cb
3865 Lindbloom (1988 AY4),7.972,6.0036E+12,7.30956E+13,9.468559,MBA,Xc
3287 Olmstead (1981 DK1),5.515,6.8973E+12,7.68499E+13,8.726702,MCA,L
4839 Daisetsuzan (1989 QG),8.141,6.25179E+12,7.78436E+13,9.671732,MBA,Xc
152679 (1998 KU2),4.692,1.19545E+13,8.03214E+13,6.301917,APO,Cb
4396 Gressmann (1981 JH),4.723,7.76013E+12,8.181E+13,8.316605,MBA,B
4750 Mukai (1990 XC1),8.661,7.58888E+12,8.52289E+13,8.79647,MBA,X
2629 Rudra (1980 RB1),4.884,7.32204E+12,9.04648E+13,9.678093,MCA,B
434 Hungaria (1898 DR),8.934,6.61359E+12,9.3545E+13,11.02135,IMB,Xe
1653 Yakhontovia (1937 RA),9.01,8.85675E+12,9.59527E+13,8.495731,MBA,X
3200 Phaethon (1983 TB),5.1,5.29655E+12,1.03006E+14,15.347441,APO,B
1155 Aenna (1928 BD),9.284,8.89044E+12,1.04976E+14,9.19337,MBA,Xe
2194 Arpola (1940 GE),9.02,8.52862E+12,1.05879E+14,9.653561,MBA,Xc
3704 Gaoshiqi (1981 YX1),9.576,9.33466E+12,1.15195E+14,9.590567,MBA,Xk
3367 Alex (1983 CA3),9.607,8.82601E+12,1.16318E+14,10.192136,MBA,X
2073 Janacek (1974 DK),9.754,9.6509E+12,1.21739E+14,9.771814,MBA,X
2331 Parvulesco (1936 EA),5.713,1.3116E+13,1.45196E+14,8.667135,MBA,C
5467 (1988 AG),10.351,1.12916E+13,1.45489E+14,9.970855,MBA,X
5690 (1992 EU),5.791,9.7941E+12,1.50804E+14,11.916135,MBA,B
1580 Betulia (1950 KA),5.8,6.93499E+12,1.51931E+14,17.059994,AMO,C
4838 Billmclaughlin (1989 NJ),10.251,1.31062E+13,1.55413E+14,9.238952,MBA,Xc
3440 Stampfer (1950 DD),10.588,1.15447E+13,1.55713E+14,10.425344,MBA,X
5678 DuBridge (1989 TS),5.945,9.26096E+12,1.63613E+14,13.66444,MBA,C
5588 Jennabelle (1990 SW3),10.931,1.26874E+13,1.71341E+14,10.442106,MBA,X
4353 Onizaki (1989 WK1),11.239,1.54081E+13,1.86237E+14,9.40814,MBA,Xe
4607 Seilandfarm (1987 WR),7.482,1.62219E+13,1.91893E+14,9.223473,MBA,L
2952 Lilliputia (1979 SF2),6.341,1.79757E+13,1.98258E+14,8.644903,MBA,Cb
4332 Milton (1983 RC),11.54,1.55229E+13,2.01604E+14,10.076548,MBA,Xe
1891 Gondola (1969 RA),11.588,1.49433E+13,2.04131E+14,10.565473,MBA,X
4591 Bryantsev (1975 VZ),6.42,1.87804E+13,2.06047E+14,8.596695,MBA,Cgh
3575 Anyuta (1984 DU2),11.735,1.63584E+13,2.11998E+14,10.029982,MBA,X
7763 Crabeels (1990 UT5),7.797,1.66585E+13,2.17165E+14,10.087371,MBA,L
3007 Reaves (1979 UC),11.861,1.83762E+13,2.189E+14,9.277256,MBA,X
1931 Capek (1969 QB),6.628,1.98877E+13,2.2673E+14,8.896783,MBA,C
3137 Horky (1982 SM1),6.685,2.08385E+13,2.3263E+14,8.733675,MBA,C
4969 Lawrence (1986 TU),6.712,1.4555E+13,2.35461E+14,12.520334,MBA,C
3375 Amy (1981 JY1),6.721,2.06919E+13,2.36409E+14,8.936681,MBA,C
7245 (1991 RN10),8.078,1.87471E+13,2.41501E+14,9.96972,MBA,L
5103 Divis (1986 RP1),12.289,1.81744E+13,2.43463E+14,10.35938,MBA,X
4726 Federer (1976 SV10),8.336,2.0632E+13,2.65387E+14,9.956826,MBA,L
5294 Onnetoh (1991 CB),12.655,1.81226E+13,2.6587E+14,11.328479,MBA,X
2925 Beatty (1978 VC5),7.101,2.51176E+13,2.78818E+14,8.69021,MBA,Cgh
3579 Rockholt (1977 YA),7.226,1.82269E+13,2.92986E+14,12.442152,MBA,B
3435 Boury (1981 XC2),7.251,2.41641E+13,2.96863E+14,9.556984,MBA,C
5087 Emel'yanov (1978 RM2),13.132,2.21238E+13,2.97081E+14,10.384351,MBA,X
1251 Hedera (1933 BE),13.239,2.43611E+13,3.04402E+14,9.684174,MBA,X
2681 Ostrovskij (1975 VF2),13.297,2.52182E+13,3.08421E+14,9.484876,MBA,Xk
4737 Kiladze (1985 QO6),8.801,2.42952E+13,3.12322E+14,9.95431,MBA,L
4619 Polyakhova (1977 RB7),9.056,2.61514E+13,3.40264E+14,10.072132,MBA,L
5632 Ingelehmann (1993 GG),13.375,2.3257E+13,3.452E+14,11.470181,MBA,Xc
6354 Vangelis (1934 GA),7.641,2.28266E+13,3.46903E+14,11.758466,MBA,Cb
1592 Mathieu (1951 LA),13.855,2.80727E+13,3.48901E+14,9.639508,MBA,X
5143 Heracles (1991 VL),4.843,3.03308E+13,3.7173E+14,9.635808,APO,O
3567 Alvema (1930 VD),13.832,3.2915E+13,3.81808E+14,9.026869,MBA,Xc
4701 Milani (1986 VW6),14.462,3.19148E+13,3.96796E+14,9.637662,MBA,Xe
1998 Titius (1938 DX1),14.242,3.34797E+13,4.16776E+14,9.671018,MBA,Xc
1730 Marceline (1936 UA),15.203,3.67432E+13,4.60968E+14,9.719909,MBA,Xe
4304 Geichenko (1973 SW4),8.432,4.0083E+13,4.66825E+14,9.075765,MBA,C
1490 Limpopo (1936 LB),14.844,3.95691E+13,4.71892E+14,9.289328,MBA,Xc
3349 Manas (1979 FH2),10.259,3.73901E+13,4.94677E+14,10.234169,MBA,L
11785 Migaic (1973 AW3),15.113,3.72304E+13,4.98014E+14,10.342677,MBA,Xc
620 Drakonia (1906 WE),11.385,4.27757E+13,5.14948E+14,9.364899,MBA,M
2606 Odessa (1976 GX2),15.91,4.20705E+13,5.28315E+14,9.733938,MBA,Xk
4369 Seifert (1982 OR),16.019,4.42412E+13,5.39248E+14,9.468351,MBA,Xk
3406 Omsk (1969 DA),16.058,4.15585E+13,5.43197E+14,10.110807,MBA,X
4426 Roerich (1969 TB6),10.641,4.2607E+13,5.52019E+14,10.025667,MBA,L
2720 Pyotr Pervyj (1972 RV3),8.933,5.11571E+13,5.55078E+14,8.519839,MBA,C
2507 Bobone (1976 WB1),16.193,4.10096E+13,5.57012E+14,10.500011,MBA,Xe
12281 Chaumont (1990 WA5),16.218,4.15258E+13,5.59596E+14,10.42124,MBA,X
1858 Lobachevskij (1972 QL),10.769,4.48924E+13,5.7218E+14,9.871153,MBA,L
2567 Elba (1979 KA),15.938,4.52192E+13,5.84105E+14,9.999787,MBA,Xc
6005 (1989 BD),9.179,4.76748E+13,6.02211E+14,9.787512,MBA,C
